YearLevel,Course,CourseCode,CourseTitle,Units,Prerequisite,Grade
3,BSCS,CS 323,"Modeling and Simulation",2.0,"CS 132, CS 211",Not yet taken
3,BSCS,CS 323L,"Modeling and Simulation (Lab)",1.0,"CS 132, CS 211",Not yet taken
3,BSCS,CS 324,"Methods of Research in Computer Science",3.0,"3rd year standing",Not yet taken
3,BSCS,CS 325,"Structure of Programming Languages",3.0,"CS 211",Not yet taken
3,BSCS,CS 331,"Practicum",6.0,"4th year standing",Not yet taken
3,BSCS,CSM 316,"Numerical Methods for Computer Science",3.0,"CS 132",Not yet taken
3,BSIT,IT 311,"Applications Development",2.0,"IT 122",Not yet taken
3,BSIT,IT 311L,"Applications Development (Lab)",1.0,"IT 122",Not yet taken
3,BSIT,IT 312,"Web Technologies",2.0,"IT 212",Not yet taken
3,BSIT,IT 312L,"Web Technologies (Lab)",1.0,"IT 212",Not yet taken
3,BSIT,IT 313,"Software Engineering",3.0,"IT 211, IT 221",Not yet taken
3,BSIT,IT 314,"Social and Professional Issues in Information Technology",3.0,"GETHICS, IT 231",Not yet taken
3,BSIT,IT 315,"Technopreneurship",3.0,"GENTREP, IT 211",Not yet taken
3,BSIT,IT 321,"IT Project 1",3.0,"3rd year standing",Not yet taken
3,BSIT,IT 322,"Data Analytics",2.0,"IT 221",Not yet taken
3,BSIT,IT 322L,"Data Analytics (Lab)",1.0,"IT 221",Not yet taken
3,BSIT,IT 323,"System Administration and Maintenance",2.0,"IT 213",Not yet taken
3,BSIT,IT 323L,"System Administration and Maintenance (Lab)",1.0,"IT 213",Not yet taken
3,BSIT,IT 324,"System Integration and Architecture",3.0,"IT 211, IT 222",Not yet taken
3,BSIT,IT 325,"Field Trips and Seminars",3.0,"3rd year standing",Not yet taken
3,BSIT,IT 331,"Information Assurance and Security",3.0,"core courses",Not yet taken
3,BSIT,ITE,"Elective 1",3.0,"3rd year standing",Not yet taken
3,BSIT,ITE,"Elective 2",3.0,"3rd year standing",Not yet taken
3,BSIT,ITE,"Elective 3",3.0,"3rd year standing",Not yet taken
4,BSIT,"FOR LANG 1","Foreign Language 1",3.0,"",Not yet taken
4,BSCS,"FOR LANG 1","Foreign Language 1",3.0,"",Not yet taken
4,BSIT,CFE 106A,"Embracing the CICM Mission",1.5,"CFE 105B",Not yet taken
4,BSCS,CFE 106A,"Embracing the CICM Mission",1.5,"CFE 105B",Not yet taken
4,BSIT,CFE 106B,"Embracing the CICM Mission",1.5,"CFE 106A",Not yet taken
4,BSCS,CFE 106B,"Embracing the CICM Mission",1.5,"CFE 106A",Not yet taken
4,BSCS,CS 411,"CS Thesis 1",3.0,"CS 324",Not yet taken
4,BSCS,CS 412,"Information Assurance and Security",3.0,"core courses",Not yet taken
4,BSCS,CS 413,"Professional Practice and Cyberethics",3.0,"GETHICS, CS 231",Not yet taken
4,BSCS,CS 421,"CS Thesis 2",3.0,"CS Thesis 1",Not yet taken
4,BSCS,CS 422,"Distributed Computing",3.0,"4th year standing",Not yet taken
4,BSCS,CSE,"Elective 1",3.0,"3rd year standing",Not yet taken
4,BSCS,CSE,"Elective 2",3.0,"3rd year standing",Not yet taken
4,BSCS,CSE,"Elective 3",3.0,"4th year standing",Not yet taken
4,BSCS,CSE,"Elective 4",3.0,"4th year standing",Not yet taken
4,BSIT,IT 411,"IT Project 2",3.0,"IT 321",Not yet taken
4,BSIT,IT 412,"IT Resource Management",3.0,"IT 313, IT 324",Not yet taken
4,BSIT,IT 421,"Practicum",9.0,"4th year standing",Not yet taken
4,BSIT,ITE,"Elective 4",3.0,"3rd year standing",Not yet taken
4,BSIT,ITE,"Elective 5",3.0,"3rd year standing",Not yet taken
