YearLevel,Course,Semester,CourseCode,CourseTitle,Units,Prerequisite,Grade
4,BSCS,1st Semester,CS 411,CS Thesis 1,3,CS 324,Not yet taken
4,BSCS,1st Semester,CS 412,Information Assurance and Security,3,core courses,Not yet taken
4,BSCS,1st Semester,CS 413,Professional Practice and Cyberethics,3,"GETHICS, CS 231",Not yet taken
4,BSCS,1st Semester,CSE,Elective 1,3,3rd year standing,Not yet taken
4,BSCS,1st Semester,CSE,Elective 2,3,3rd year standing,Not yet taken
4,BSCS,2nd Semester,CFE 106B,Embracing the CICM Mission,1.5,CFE 106A,Not yet taken
4,BSCS,2nd Semester,CS 421,CS Thesis 2,3,CS Thesis 1,Not yet taken
4,BSCS,2nd Semester,CS 422,Distributed Computing,3,4th year standing,Not yet taken
4,BSCS,2nd Semester,FOR LANG 1,Foreign Language 1,3,,Not yet taken
4,BSCS,2nd Semester,CSE,Elective 3,3,4th year standing,Not yet taken
4,BSCS,2nd Semester,CSE,Elective 4,3,4th year standing,Not yet taken
